시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSPI,S-Oil,010950,89700,352.18,100986.8,74.6,84.0,11.77,639.9012,-123.50179,0.87,4.67,20.56,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",82700,76900,91300,100000
KOSPI,유한양행,000100,116700,332.64,93323.2,48.2,63.0,-1.19,-21.0917,-193.45655,0.5,-6.64,1.21,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",116700,108500,129000,141200
KOSPI,LG이노텍,011070,231000,312.79,54671.0,45.6,53.8,-3.69,-3318.9353,-709.14027,0.65,-4.74,-8.88,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",231000,215000,255500,279500
KOSDAQ,태성,323280,38750,283.34,11819.0,76.2,78.4,17.42,354.5524,-115.08069,0.86,3.06,13.64,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",34000,31600,37550,41150
KOSPI,대원전선,006340,3820,280.58,2916.7,40.2,52.6,1.68,-43.7419,13.28354,0.49,6.11,-4.14,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",3820,3555,4220,4620
KOSDAQ,씨어스테크놀로지,458870,130000,253.79,16465.6,81.5,92.9,31.07,3468.0734,-651.88873,0.8,0.0,43.81,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",102200,95000,112900,123600
KOSDAQ,네이처셀,007390,23550,253.22,15174.5,45.2,62.2,-8.81,-229.863,-265.65514,1.91,-13.74,-5.04,5,★,"RSI적정, 거래량↑, 정배열(단), 자금유입(MFI), 에너지응축(Sqz), 과열X",23550,21900,26000,28500
KOSDAQ,재영솔루텍,049630,2020,236.47,2208.8,73.2,91.8,29.86,54.1642,-15.77282,0.27,11.66,55.27,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",1602,1490,1770,1939
KOSDAQ,휴림로봇,090710,4975,235.58,5943.0,18.5,17.8,-17.7,-258.9187,0.14335,0.34,-9.55,-21.16,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",4975,4625,5500,6020
KOSDAQ,서부T&D,006730,12570,222.41,8224.2,74.7,87.6,28.39,396.4086,59.54491,1.85,44.32,37.23,5,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",10080,9380,11140,12200
KOSPI,GS피앤엘,499790,53500,217.7,10609.5,74.8,82.1,27.54,1933.3521,174.34541,1.47,33.08,31.61,5,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",43200,40200,47750,52300
KOSPI,두산우,000155,545000,208.08,21780.7,45.6,42.2,-2.72,-7888.6982,-3204.16049,0.69,-3.71,0.18,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",545000,507000,602000,659000
KOSPI,KT,030200,49900,195.74,125758.8,54.3,78.9,1.07,130.5978,14.92004,1.06,-0.4,3.42,5,★,"RSI적정, MACD상승, 20선근접, 자금유입(MFI), MACD>Sig, 과열X",49900,47950,52800,55800
KOSDAQ,큐리옥스바이오시스템즈,445680,76600,187.79,13087.9,51.7,40.9,4.93,-47.4376,174.15984,0.84,16.24,2.54,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",75200,69900,83100,91000
KOSDAQ,삐아,451250,10460,186.24,1069.6,55.4,87.5,5.03,26.4453,93.68825,9.79,10.22,7.95,5,★,"RSI적정, MACD상승, 거래량↑, 자금유입(MFI), MACD>Sig, 과열X",10260,9540,11340,12410
KOSPI,포스코인터내셔널,047050,52800,168.31,92887.2,40.6,53.1,-2.42,-317.9761,45.71007,0.69,-0.19,2.33,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",52800,49100,58300,63900
KOSDAQ,넥스트바이오메디컬,389650,70800,167.06,5808.4,68.3,74.1,13.18,1173.8366,298.47699,2.06,13.28,16.45,5,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",64400,59900,71200,78000
KOSPI,기업은행,024110,20250,161.86,161478.7,65.6,57.5,1.74,15.4671,-16.36363,0.65,-1.94,2.79,5,★,"20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",20250,19240,21750,23300
KOSPI,한올바이오파마,009420,43950,147.89,22959.8,57.6,75.0,5.72,-26.0186,-116.14126,0.25,0.57,-5.08,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",42800,39800,47300,51800
KOSPI,GS,078930,59400,133.11,55191.7,73.0,86.8,9.59,518.6509,-234.01849,0.63,1.89,16.7,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",55800,51900,61700,67500
KOSPI,삼영,003720,6070,130.74,2063.8,67.4,82.1,11.67,109.2691,-35.26605,0.77,0.17,31.1,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",5600,5210,6190,6770
KOSPI,강원랜드,035250,17720,127.11,37910.3,68.4,73.8,3.09,99.4982,5.30204,1.31,2.49,5.23,5,★,"MACD상승, 20선근접, 거래량↑, 자금유입(MFI), MACD>Sig, 과열X",17710,16980,18800,19890
KOSDAQ,파크시스템스,140860,246500,124.08,17243.6,53.8,51.2,3.13,2245.941,54.88356,1.2,-2.18,16.82,5,★,"RSI적정, MACD상승, 20선근접, 거래량↑, MACD>Sig, 과열X",246000,229000,272000,298000
KOSDAQ,삼영엠텍,054540,14060,120.59,1827.8,33.6,78.3,-16.87,-385.4836,-134.52837,0.29,-20.56,-8.7,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",14060,13080,15540,17010
KOSDAQ,제이에스링크,127120,20100,117.94,6386.9,46.7,43.6,3.71,-30.7004,182.68822,1.72,20.5,-1.95,5,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑)",19960,18570,22050,24150
KOSDAQ,앱클론,174900,33800,116.62,6453.4,78.7,77.4,34.86,875.8523,1.53289,0.86,22.91,55.76,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",25800,24000,28500,31250
KOSPI,코리아써키트,007810,28200,111.93,6661.1,65.7,82.6,15.0,451.1133,-290.56581,0.3,6.02,33.02,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",25250,23500,27900,30550
KOSPI,NH투자증권,005940,20550,110.43,73228.8,47.6,60.2,-1.46,-79.9027,-40.45082,0.51,-3.97,3.11,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",20550,19110,22700,24850
KOSPI,한국타이어앤테크놀로지,161390,57900,109.08,71723.7,79.9,78.3,10.53,208.2653,-202.78631,0.38,-2.69,17.33,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",54000,50200,59600,65300
KOSDAQ,브이엠,089970,23300,107.35,5614.3,49.3,58.5,-6.38,-475.258,-96.44522,0.86,-8.45,-5.09,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",23300,21650,25750,28200
KOSPI,에이블씨엔씨,078520,9850,107.08,2562.4,49.6,55.9,1.9,120.9177,11.30351,2.47,9.2,0.92,5,★,"RSI적정, MACD상승, 20선근접, 거래량↑, MACD>Sig, 과열X",9850,9160,10880,11920
KOSDAQ,클래시스,214150,55300,103.54,36224.6,68.5,74.8,6.83,584.664,-142.55159,0.65,-1.43,18.54,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",53300,49600,58900,64500
KOSDAQ,HK이노엔,195940,49400,96.58,13995.0,47.9,55.8,-1.31,-145.6042,-80.69931,0.68,-1.4,-0.1,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",49400,45950,54600,59800
KOSPI,F&F,383220,76200,91.73,29190.0,79.0,76.8,12.5,1176.7529,-130.50329,0.97,1.33,24.71,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",69800,64900,77100,84400
KOSDAQ,감성코퍼레이션,036620,6000,79.5,5430.2,65.4,71.0,11.28,100.0318,16.8771,1.49,15.16,9.69,5,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",5550,5160,6140,6720
KOSDAQ,유니셈,036200,9270,78.28,2842.6,45.8,61.2,-8.92,-91.9413,-66.7098,0.96,-3.74,-5.21,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",9270,8620,10240,11220
KOSPI,우진,105840,14080,76.15,2843.8,47.1,72.7,-4.93,-61.0822,-20.10341,0.41,-6.69,4.45,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",14080,13090,15560,17040
KOSDAQ,제닉스로보틱스,381620,13910,76.09,1824.7,29.7,64.7,-13.48,-403.156,-50.38702,0.2,-18.8,-7.76,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",13910,12940,15370,16830
KOSDAQ,수젠텍,253840,7080,74.73,1185.4,55.4,76.8,0.18,10.82,-25.55227,0.85,-8.05,3.51,5,★,"RSI적정, 20선근접, 정배열(단), 자금유입(MFI), MACD>Sig, 과열X",7080,6580,7820,8570
KOSPI,롯데쇼핑,023530,74300,71.06,21018.5,80.0,68.6,7.7,683.9155,-8.56008,1.07,2.06,11.73,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",71100,66100,78500,86000
KOSDAQ,차바이오텍,085660,12550,68.95,9591.5,47.3,56.0,-1.16,-75.9124,-12.73176,0.81,-1.65,2.78,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",12550,11670,13870,15190
KOSPI,SK바이오사이언스,302440,52400,65.45,41065.4,53.6,59.2,-2.91,-516.171,-35.03379,0.44,-4.03,-2.78,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",52400,48750,57900,63400
KOSPI,케이씨텍,281820,37950,65.27,7852.0,48.2,66.3,-5.96,-136.2793,-383.17138,0.89,-6.99,2.99,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",37950,35300,41950,45900
KOSDAQ,큐리언트,115180,25250,63.45,9049.3,65.3,68.3,10.46,134.8469,-197.97974,0.78,-8.01,18.82,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",23550,21900,26000,28500
KOSPI,미스토홀딩스,081660,41650,60.27,25029.9,71.8,71.5,5.46,272.0716,-19.36377,1.31,3.87,6.66,5,★,"거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",40700,37850,44950,49200
KOSPI,대웅제약,069620,172000,56.42,19928.9,73.2,68.6,12.35,2289.398,-378.36885,0.47,-1.04,23.12,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",157700,146600,174200,190800
KOSDAQ,온코크로스,382150,11570,56.25,1390.5,69.7,92.4,12.17,150.6078,-80.68853,0.36,-4.93,7.73,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",10620,9880,11740,12860
KOSPI,LG전자우,066575,47550,54.98,8171.9,50.0,56.6,-3.28,-737.9125,-145.28103,0.57,-7.13,-10.45,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",47550,44200,52500,57500
KOSPI,신세계,004170,228000,54.32,21991.0,90.9,97.6,14.87,3656.5635,-559.93554,0.35,5.8,18.75,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",204500,190100,226000,247500
KOSPI,GS리테일,007070,22500,53.7,18811.7,92.1,85.9,12.78,203.8751,-30.79929,0.81,2.51,11.66,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",20550,19110,22700,24850
KOSPI,CJ대한통운,000120,94500,50.79,21557.7,79.1,73.6,7.45,654.1053,-117.9083,0.6,0.0,13.31,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",90600,84200,100100,109600
KOSPI,팬오션,028670,3750,50.28,20046.4,51.3,44.3,-0.54,1.7022,2.60371,0.77,0.67,-1.32,5,★,"RSI적정, MACD상승, 20선근접, 에너지응축(Sqz), MACD>Sig, 과열X",3750,3525,4090,4430
KOSPI,삼성전자,005930,94800,22042.45,5611816.8,30.8,42.2,-6.36,-1396.6978,-194.12878,0.88,-2.47,-3.17,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",94800,88200,104800,114700
KOSPI,HD현대일렉트릭,267260,751000,1685.09,270714.0,26.9,34.1,-11.39,-20474.6216,-3246.41329,0.96,-8.86,-8.19,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",751000,698000,830000,909000
KOSPI,삼성전기,009150,217500,1499.81,162458.8,32.9,34.5,-3.58,-2766.0742,449.46594,1.09,2.11,-2.25,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",217500,202500,240500,263000
KOSPI,현대차,005380,259500,1393.01,531346.4,25.4,34.7,-3.43,-3165.7744,-343.99113,0.53,-4.77,-1.7,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",259500,241500,286500,314000
KOSDAQ,에코프로,086520,78800,1285.83,106991.6,31.0,49.1,-12.26,-2903.6266,-191.33641,0.45,-12.35,-9.63,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",78800,73300,87100,95300
KOSPI,효성중공업,298040,1910000,1275.58,178098.9,26.1,37.3,-10.52,-59321.0362,-9280.60265,0.97,-10.12,-12.71,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",1910000,1776000,2111000,2311000
KOSPI,두산,000150,855000,1265.02,141278.8,37.5,45.2,-9.68,-22926.0884,-4844.86318,1.01,-5.63,-6.86,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",855000,795000,945000,1035000
KOSPI,LG화학,051910,367000,1160.74,259073.9,39.4,47.6,-7.45,-6443.3482,-1612.73572,0.84,-9.94,-3.93,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",367000,341500,405500,444000
KOSPI,한화오션,042660,119800,1053.97,367083.2,30.1,51.6,-7.92,-1733.4185,-310.05179,0.32,-7.2,-5.52,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",119800,111400,132400,145000
KOSPI,LG에너지솔루션,373220,425500,1035.8,995670.0,27.5,48.0,-9.43,-9124.7675,-854.41859,0.62,-8.1,-8.2,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",425500,395500,470000,515000
KOSPI,삼성SDI,006400,288500,998.97,232489.3,35.5,51.2,-8.51,-7204.7172,-906.83211,0.34,-8.41,-5.72,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",288500,268500,319000,349000
KOSPI,HD현대중공업,329180,555000,902.93,492690.8,39.3,69.9,-2.93,-917.1887,-2057.00992,0.54,-5.29,6.53,4,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",555000,516000,613000,672000
KOSPI,삼성물산,028260,216000,881.5,367149.3,42.1,37.8,-2.07,-1716.2434,-176.30683,1.16,-1.59,0.93,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",216000,201000,238500,261500
KOSPI,KB금융,105560,120500,858.54,459661.8,53.6,59.0,-2.19,-954.9469,-271.48962,0.6,-6.95,-2.59,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 과열X",120500,112100,133200,145800
KOSPI,대한전선,001440,22500,825.4,41950.6,40.1,38.0,-6.09,-508.9926,-116.01051,0.44,-9.82,-9.09,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",22500,20900,24850,27200
KOSPI,삼양식품,003230,1380000,741.72,103955.6,52.7,58.6,3.94,15381.8592,-998.72986,0.82,4.55,6.48,4,★,"RSI적정, 20선근접, 에너지응축(Sqz), MACD>Sig, 과열X",1368000,1272000,1511000,1655000
KOSPI,삼성중공업,010140,25350,703.0,223080.0,28.0,11.3,-7.41,-405.7225,-8.53293,0.35,-3.61,-3.61,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",25350,23600,28000,30650
KOSDAQ,원익홀딩스,030530,21900,572.87,16915.1,34.0,41.9,-23.37,-1673.906,-38.1955,0.87,-26.76,-27.12,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",21900,20350,24200,26500
KOSDAQ,심텍,222800,49000,558.92,17149.2,31.0,61.5,-15.03,-1562.305,-209.79165,0.8,-1.8,-20.84,4,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",49000,45550,54100,59300
KOSPI,하이브,352820,292000,509.09,124275.5,25.8,24.9,-5.56,-3264.3532,239.71218,0.43,-1.85,-4.42,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",292000,271500,322500,353500
KOSPI,포스코퓨처엠,003670,192500,497.62,171221.5,28.3,51.9,-10.29,-4986.7406,-265.75147,0.52,-8.11,-7.0,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",192500,179000,212500,233000
KOSDAQ,테크윙,089030,44800,425.46,16600.0,14.1,16.6,-24.71,-2114.7363,-233.19472,1.5,-18.4,-25.83,4,★,"거래량↑, 정배열(단), 장기추세(120↑), 과열X",44800,41650,49500,54200
KOSDAQ,노랑풍선,104620,6100,422.05,1025.4,69.0,76.7,14.0,177.2135,-3.67852,1.91,23.98,25.77,4,★,"거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",5510,5130,6090,6670
KOSPI,키움증권,039490,262000,411.53,69379.2,37.6,34.6,-9.8,-5101.3386,-913.16932,1.02,-9.03,-6.93,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",262000,243500,289500,317000
KOSDAQ,에코프로비엠,247540,138200,400.75,135161.5,26.2,47.9,-11.82,-3406.3809,-289.10496,0.37,-8.23,-8.54,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",138200,128500,152700,167200
KOSPI,산일전기,062040,132300,395.67,40279.0,20.7,53.7,-11.89,-3370.9177,-348.64509,0.43,-8.06,-7.8,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",132300,123000,146200,160100
KOSPI,HD현대미포,010620,223000,357.92,89071.0,41.7,62.7,-1.75,-68.7434,-642.33332,0.37,-3.25,8.52,4,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",223000,207500,246500,270000
KOSPI,한국금융지주,071050,153100,337.51,85316.5,29.1,47.5,-9.96,-3114.1257,-239.48702,0.61,-9.78,-6.07,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",153100,142400,169200,185300
KOSDAQ,원익IPS,240810,56700,323.53,27830.6,37.4,49.8,-13.47,-1900.174,-326.27649,0.8,-13.83,-14.74,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",56700,52700,62700,68600
KOSDAQ,클로봇,466100,35750,313.83,8934.7,23.3,49.4,-9.42,-888.4114,-34.5089,0.34,-6.04,-3.77,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",35750,33250,39500,43250
KOSPI,LS,006260,182200,312.64,57757.4,35.5,46.7,-12.1,-4087.0375,-578.22707,0.6,-5.64,-9.8,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",182200,169400,201500,220500
KOSPI,HD현대,267250,203500,310.21,160750.9,43.2,52.8,-4.84,-3158.0795,-910.23345,0.62,-5.35,-1.93,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",203500,189300,225000,246000
KOSPI,극동유화,014530,3285,301.25,1145.5,57.5,19.6,0.39,7.9157,-0.65682,12.75,0.15,3.3,4,★,"RSI적정, 20선근접, 거래량↑, MACD>Sig, 과열X",3285,3155,3480,3675
KOSPI,한화엔진,082740,41700,300.43,34797.5,21.9,17.1,-7.89,-414.9435,52.86359,0.47,0.72,-4.47,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",41700,38800,46100,50500
KOSDAQ,이오테크닉스,039030,248000,300.42,30552.5,51.1,56.0,-6.53,-2839.6536,-2212.68096,0.77,-10.47,-5.34,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 과열X",248000,230500,274000,300000
KOSDAQ,티엘비,356860,62400,288.49,6135.6,42.9,56.0,-8.02,-1222.948,-341.00634,0.72,-2.35,-1.58,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",62400,58000,69000,75500
KOSDAQ,실리콘투,257720,45900,282.1,28077.9,51.7,70.3,4.39,472.5806,-21.47893,0.54,3.61,15.04,4,★,"RSI적정, 20선근접, 자금유입(MFI), MACD>Sig, 과열X",45300,42100,50000,54800
KOSPI,일진전기,103590,53800,272.08,25654.7,25.0,44.2,-8.14,-1469.1294,-216.51101,0.36,-9.43,-12.38,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",53800,50000,59400,65100
KOSPI,삼성에스디에스,018260,169000,249.26,130768.5,38.7,46.0,-2.32,-1263.5846,285.40768,0.52,0.84,0.12,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",169000,157200,186700,204500
KOSPI,현대차2우B,005387,196800,248.91,68809.0,29.3,37.1,-2.65,-1796.5062,-282.0408,0.7,-3.29,0.51,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",196800,184500,215000,233500
KOSPI,삼성증권,016360,77100,235.12,68850.3,48.9,48.9,-1.01,-175.872,-167.80068,0.64,-4.1,4.9,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 과열X",77100,71700,85200,93300
KOSDAQ,로보스타,090360,63400,226.88,6181.5,3.9,6.3,-20.52,-3518.0216,-109.9309,0.33,-14.44,-17.88,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",63400,59000,70100,76700
KOSPI,SK이노베이션,096770,113500,220.46,191874.9,31.9,54.3,-8.39,-1833.6712,-160.41972,0.47,-7.5,-2.07,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",113500,105600,125400,137300
KOSPI,디아이,003160,22350,217.36,6325.1,40.9,58.7,-7.53,-302.5422,-222.88254,0.59,-8.4,-3.87,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",22350,20800,24700,27050
KOSPI,현대차우,005385,194200,212.25,45328.1,27.2,37.2,-2.51,-1940.7098,-148.83839,0.79,-3.14,0.1,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",194200,182200,212000,230000
KOSPI,현대엘리베이터,017800,79100,206.26,30922.1,59.2,63.6,1.57,545.4795,-115.66894,0.59,-3.3,11.1,4,★,"RSI적정, 20선근접, 자금유입(MFI), MACD>Sig, 과열X",79100,73600,87400,95700
KOSDAQ,삼천당제약,000250,211000,202.76,49495.3,38.3,48.5,-6.32,-1767.1469,-814.00245,0.62,-6.84,-4.31,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",211000,196200,233000,255500
KOSPI,LG디스플레이,034220,12150,198.88,60750.0,21.3,25.4,-10.59,-214.1906,1.96417,0.6,-7.88,-9.4,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",12150,11300,13430,14700
KOSPI,오리온,271560,104800,198.25,41433.9,71.9,76.5,1.54,354.475,-107.77652,1.32,-0.57,1.16,4,★,"20선근접, 거래량↑, 자금유입(MFI), MACD>Sig, 과열X",104800,99700,112500,120200
KOSPI,LG,003550,79300,183.61,122297.7,44.5,50.6,-3.98,-743.3634,-121.13383,0.62,-4.34,-3.41,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",79300,73700,87600,96000
KOSPI,해성디에스,195870,48150,182.66,8185.5,44.8,47.1,-8.57,-1152.4728,-420.55448,1.15,-8.63,-7.93,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",48150,44800,53200,58300
KOSDAQ,메드팩토,235980,8050,177.9,2759.1,83.3,74.6,37.81,228.9607,-1.40607,1.11,14.18,71.28,4,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",6020,5600,6650,7280
KOSDAQ,테스,095610,38200,177.01,7551.5,44.0,51.7,-12.76,-582.8848,-313.26844,1.34,-8.39,-4.62,4,★,"거래량↑, 정배열(단), 장기추세(120↑), 과열X",38200,35550,42200,46200
KOSPI,코스모신소재,005070,45500,147.44,14792.4,28.1,56.6,-15.16,-1324.6424,-154.31841,0.47,-13.5,-10.26,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",45500,42300,50300,55100
KOSPI,HDC현대산업개발,294870,20300,145.03,13379.2,63.9,49.3,6.05,131.8105,93.55034,2.95,6.28,9.85,4,★,"RSI적정, MACD상승, 거래량↑, MACD>Sig, 과열X",19720,18560,21450,23200
KOSPI,에코프로머티,450080,55800,144.84,39022.3,32.6,49.0,-11.07,-1242.1585,-157.7487,0.55,-11.29,-7.77,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",55800,51900,61700,67500
KOSPI,코웨이,021240,88200,142.43,63423.9,45.7,45.6,-1.71,100.8335,59.72462,0.78,-2.86,-1.12,4,★,"RSI적정, MACD상승, 에너지응축(Sqz), MACD>Sig, 과열X",88200,82000,97500,106700
KOSPI,현대오토에버,307950,186100,132.33,51036.0,27.8,43.4,-0.88,-1532.8198,-151.20405,0.29,2.82,-1.43,4,★,"20선근접, 정배열(단), 장기추세(120↑), 과열X",186100,173100,205500,225000
KOSPI,전진건설로봇,079900,48100,123.82,7019.0,52.3,58.2,7.45,305.8262,375.30861,5.53,9.82,13.58,4,★,"RSI적정, MACD상승, 거래량↑, MACD>Sig, 과열X",46100,42900,50900,55800
KOSDAQ,솔브레인,357780,230000,117.45,17890.7,27.2,35.3,-14.65,-4931.8283,-1059.88544,1.22,-14.18,-11.2,4,★,"거래량↑, 정배열(단), 장기추세(120↑), 과열X",230000,214000,254000,278500
KOSDAQ,현대무벡스,319400,8270,114.23,9210.8,17.5,20.5,-12.81,-196.6319,6.32842,0.4,-6.45,-9.72,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 과열X",8270,7690,9140,10010
KOSDAQ,에프에스티,036810,27100,107.64,5950.2,25.5,49.3,-20.52,-977.8046,-198.12646,1.24,-17.75,-17.5,4,★,"거래량↑, 정배열(단), 장기추세(120↑), 과열X",27100,25200,29950,32800
KOSPI,후성,093370,8040,102.21,8623.3,37.7,51.9,-11.2,-228.4533,-32.5044,0.29,-15.99,-10.86,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",8040,7480,8880,9730
KOSDAQ,우리기술투자,041190,8630,97.28,7249.2,46.8,41.8,-1.02,36.8862,27.24747,1.13,1.17,2.13,4,★,"RSI적정, MACD상승, 에너지응축(Sqz), MACD>Sig, 과열X",8630,8030,9540,10440
KOSPI,LG화학우,051915,185000,92.19,14224.3,42.5,39.0,-5.94,-3155.0063,-583.13484,0.7,-8.42,-3.14,4,★,"정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",185000,172000,204500,224000
